center_id,space_type,day_of_week,slot_start_time,slot_end_time,class_name,class_length,timetable_key
14,STUDIO,Sunday,08:00:00,13:29:59,Pump,45,0
14,STUDIO,Thursday,12:00:00,14:59:59,Yoga,60,1
14,STUDIO,Thursday,12:00:00,14:59:59,LBT,45,2
14,STUDIO,Thursday,16:30:00,20:29:59,Bodytone,45,3
14,STUDIO,Sunday,08:00:00,13:29:59,LBT,30,4
14,STUDIO,Wednesday,12:00:00,14:59:59,Yoga,60,5
14,SPIN,Tuesday,16:30:00,20:29:59,Cycle,45,6
14,STUDIO,Thursday,06:00:00,08:59:59,Pump,45,7
14,STUDIO,Tuesday,12:00:00,14:59:59,Pump,45,8
14,STUDIO,Monday,16:30:00,20:29:59,LBT,45,9
14,STUDIO,Thursday,12:00:00,14:59:59,Pump,45,10
14,STUDIO,Tuesday,12:00:00,14:59:59,Yoga,60,11
14,STUDIO,Tuesday,12:00:00,14:59:59,LBT,45,12
14,STUDIO,Tuesday,16:30:00,20:29:59,Combat,45,13
14,STUDIO,Monday,16:30:00,20:29:59,Pump,45,14
14,STUDIO,Thursday,16:30:00,20:29:59,Step,30,15
14,STUDIO,Wednesday,09:00:00,11:59:59,Zumba,45,16
14,STUDIO,Wednesday,06:00:00,08:59:59,Pilates,60,17
14,STUDIO,Saturday,08:00:00,13:29:59,Pump,45,18
14,STUDIO,Thursday,09:00:00,11:59:59,Bootcamp,45,19
14,STUDIO,Thursday,16:30:00,20:29:59,Yoga,60,20
14,STUDIO,Friday,16:30:00,20:29:59,LBT,30,21
14,STUDIO,Monday,09:00:00,11:59:59,LBT,30,22
14,STUDIO,Thursday,16:30:00,20:29:59,Zumba,60,23
14,STUDIO,Tuesday,09:00:00,11:59:59,Pilates,60,24
14,STUDIO,Wednesday,09:00:00,11:59:59,Pilates,45,25
14,STUDIO,Wednesday,16:30:00,20:29:59,LBT,45,26
14,FUNCTIONAL,Friday,06:00:00,08:59:59,SWEAT,30,27
14,SPIN,Friday,16:30:00,20:29:59,Cycle,45,28
14,STUDIO,Thursday,09:00:00,11:59:59,LBT,30,29
14,SPIN,Friday,06:00:00,08:59:59,Cycle,30,30
14,STUDIO,Monday,16:30:00,20:29:59,Bodytone,30,31
14,STUDIO,Tuesday,09:00:00,11:59:59,Circuits,45,32
14,STUDIO,Friday,06:00:00,08:59:59,LBT,45,33
14,STUDIO,Friday,09:00:00,11:59:59,Bootcamp,45,34
14,STUDIO,Thursday,09:00:00,11:59:59,Step,30,35
14,STUDIO,Monday,06:00:00,08:59:59,Burn It,30,36
14,SPIN,Monday,09:00:00,11:59:59,Cycle,45,37
14,STUDIO,Wednesday,16:30:00,20:29:59,Dance,45,38
14,STUDIO,Thursday,06:00:00,08:59:59,Circuits,45,39
14,FUNCTIONAL,Monday,16:30:00,20:29:59,SWEAT,30,40
14,STUDIO,Monday,09:00:00,11:59:59,Step,30,41
14,STUDIO,Monday,09:00:00,11:59:59,Bodytone,30,42
14,SPIN,Wednesday,06:00:00,08:59:59,Cycle,45,43
14,STUDIO,Sunday,08:00:00,13:29:59,Dance,45,44
14,STUDIO,Sunday,08:00:00,13:29:59,Zumba,60,45
14,STUDIO,Tuesday,12:00:00,14:59:59,HEAT,30,46
14,STUDIO,Tuesday,16:30:00,20:29:59,LBT,30,47
14,SPIN,Monday,06:00:00,08:59:59,Cycle,30,48
14,STUDIO,Wednesday,09:00:00,11:59:59,Bodytone,45,49
14,STUDIO,Thursday,09:00:00,11:59:59,Aerobics,30,50
14,SPIN,Wednesday,16:30:00,20:29:59,Cycle,45,51
14,SPIN,Tuesday,12:00:00,14:59:59,Cycle,45,52
14,STUDIO,Wednesday,16:30:00,20:29:59,Combat,30,53
14,SPIN,Tuesday,09:00:00,11:59:59,Cycle,30,54
14,STUDIO,Monday,16:30:00,20:29:59,Pilates,60,55
14,STUDIO,Tuesday,16:30:00,20:29:59,Step,45,56
14,STUDIO,Tuesday,09:00:00,11:59:59,Pump,45,57
14,STUDIO,Wednesday,12:00:00,14:59:59,Pump,45,58
14,STUDIO,Wednesday,16:30:00,20:29:59,Bodytone,30,59
